"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Trendon Watford","POR","SF,PF DTD","7.4","3.8","2.1","0.2","0.5",".560",".720","0.4","1.1","62","19.1","1.2","2.5","1.83","1.9"
"Isaiah Jackson","IND","PF","7.2","4.5","0.8","1.5","0.5",".563",".651","0.0","0.8","63","16.5","1.5","2.8","0.98","2.4"
"Kevon Looney","GSW","PF,C","7.0","9.3","2.5","0.6","0.6",".630",".607","0.0","0.5","82","23.9","1.1","3.0","4.60","2.7"
"Xavier Tillman","MEM","PF,C","7.0","5.0","1.6","0.5","1.0",".614",".551","0.1","0.7","61","19.3","0.8","3.0","2.18","1.6"
"Daniel Theis","IND","PF,C","7.0","3.1","1.3","0.9","0.3",".477",".417","0.3","0.4","7","15.5","0.7","2.7","3.00","1.0"
"Joe Ingles","MIL","SG,SF,PF","6.9","2.8","3.3","0.1","0.7",".436",".857","1.8","1.2","46","22.7","0.4","0.5","2.73","1.6"
"Jae Crowder","MIL","SF,PF","6.9","3.8","1.5","0.3","0.7",".479",".833","1.3","0.4","18","18.9","0.6","1.2","3.86","1.5"
"Larry Nance Jr.","NOR","PF,C DTD","6.8","5.4","1.8","0.6","0.9",".610",".696","0.2","0.6","65","21.2","0.8","2.6","2.83","2.0"
"Jeremiah Robinson-Earl","OKC","SF,PF","6.8","4.2","1.0","0.3","0.6",".444",".833","0.9","0.4","43","18.9","0.8","1.7","2.26","1.7"
"Justise Winslow","POR","PF,PG,SF OUT","6.8","5.0","3.4","0.4","1.0",".409",".714","0.5","1.5","29","26.8","0.7","2.3","2.28","3.1"
"Dwight Powell","DAL","PF,C","6.7","4.1","0.9","0.3","0.6",".732",".667","0.0","0.9","76","19.2","1.5","2.6","1.06","2.8"
"David Roddy","MEM","PF","6.7","2.8","0.8","0.3","0.4",".429",".631","0.9","0.8","70","18.0","0.6","1.6","1.04","1.5"
"Isaiah Livers","DET","SF,PF OUT","6.7","2.8","0.8","0.5","0.5",".417",".821","1.4","0.6","52","23.0","0.6","0.9","1.37","2.0"
"Drew Eubanks","POR","PF,C DTD","6.6","5.4","1.3","1.3","0.5",".641",".664","0.1","0.9","78","20.3","1.1","2.7","1.54","2.2"
